iter	Passed	Remaining
0	358	35472
1	496	24344
2	669	21636
3	813	19513
4	961	18263
5	1118	1752566	1281	17019
7	1492	17166
8	1638	16569
9	1841	16571
10	1970	15943
11	2099	15398112	2221	14869113	2331	14324114	2479	14049115	2599	13649116	2759	13473117	2890	13168118	2991	12752119	3090	12361220	3209	1207521	3307	11727
22	3427	11475
23	3523	11156
24	3631	10894
225	3777	1075126	3879	10487
27	3981	10236
28	4091	10018
29	4212	9829
30	4315	9605
31	4423	9400
32	4549	9236
33	4658	9042
34	4777	8871
35	4870	8658
36	4970	8463
37	5091	8306
38	5194	8124
39	5324	7987
40	5405	7778
41	5507	7605
42	5619	7448
43	5729	7292
44	5839	7136
45	5935	6968
46	6045	6817
47	6155	6668
48	6294	6551
49	6392	6392
50	6505	6250
51	6588	6081
52	6715	5955
53	6822	5811
54	6940	5678
55	7049	5538
56	7162	5403
57	7276	5269
58	7375	5125
59	7492	4994
60	7608	4864
61	7747	4748
62	7874	4624
63	7975	4485
64	8068	4344
65	8191	4220
66	8307	4091
67	8421	3962
68	8518	3827
69	8590	3681
70	8741	3570
71	8880	3453
72	8998	3328
73	9107	3199
74	9233	3077
75	9312	2940
76	9505	2839
77	9695	2734
78	9832	2613
79	9924	2481
80	10038	2354
81	10189	2236
82	10293	2108
83	10381	1977
84	10463	1846
85	10552	1717
86	10665	1593
887	10965	1495888	11090	1370
89	11195	1243
90	11354	1122
91	11474	997
92	11577	871
93	11674	745
94	11780	620
95	11925	496
96	12033	372
97	12093	246
98	12148	122
99	12203	0
